"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.124666270E-1,1.819593310E-1,4.118026793E-1,9.739612579E0,9.750012505E0
6.164641670E-1,1.436520964E-1,4.596867263E-1,9.739612579E0,9.751512755E0
6.204622450E-1,2.011129409E-1,4.309563041E-1,9.787496567E0,9.799043769E0
6.244610920E-1,1.149216816E-1,4.405331016E-1,9.816226959E0,9.826779133E0
6.284574000E-1,1.436520964E-1,4.405331016E-1,9.758766174E0,9.769760621E0
6.324555550E-1,1.244984865E-1,4.501099288E-1,9.787496567E0,9.798631938E0
6.364840950E-1,1.436520964E-1,4.309563041E-1,9.825803757E0,9.836299036E0
6.404810190E-1,1.532289088E-1,4.405331016E-1,9.749189377E0,9.760340261E0
6.444804810E-1,7.661445439E-2,3.639186621E-1,9.844957352E0,9.851979082E0
6.484760980E-1,1.053448766E-1,4.118026793E-1,9.777919769E0,9.787154541E0
6.524742530E-1,1.628057212E-1,4.309563041E-1,9.873687744E0,9.884429104E0
6.564712540E-1,1.149216816E-1,4.213795066E-1,9.730035782E0,9.739833879E0
6.604705620E-1,1.723825186E-1,3.830722570E-1,9.739612579E0,9.748667257E0
6.644687170E-1,9.576806426E-2,4.309563041E-1,9.825803757E0,9.835716259E0
6.684666410E-1,8.619125932E-2,4.213795066E-1,9.787496567E0,9.796942312E0
6.724638730E-1,1.628057212E-1,4.022258818E-1,9.816226959E0,9.825813100E0
6.764613360E-1,1.149216816E-1,4.309563041E-1,9.777919769E0,9.788086909E0
6.804604140E-1,1.340752989E-1,4.501099288E-1,9.806650162E0,9.817889922E0
6.844585680E-1,9.576806426E-2,4.501099288E-1,9.825803757E0,9.836574095E0
6.884545690E-1,1.819593310E-1,4.405331016E-1,9.806650162E0,9.818226215E0
6.924831870E-1,5.746084079E-2,4.118026793E-1,9.768342972E0,9.777188124E0
6.964804950E-1,1.819593310E-1,3.926490843E-1,9.864110947E0,9.873599509E0
7.004801890E-1,1.244984865E-1,4.022258818E-1,9.816226959E0,9.825253037E0
7.044785740E-1,1.340752989E-1,4.309563041E-1,9.825803757E0,9.836163835E0
7.084743450E-1,1.532289088E-1,4.022258818E-1,9.758766174E0,9.768253785E0
7.124727300E-1,1.628057212E-1,4.884171486E-1,9.797073364E0,9.810591395E0
7.164694240E-1,1.340752989E-1,4.405331016E-1,9.816226959E0,9.827021793E0
7.204669630E-1,2.106897533E-1,4.692635238E-1,9.816226959E0,9.829695323E0
7.244675030E-1,1.053448766E-1,4.118026793E-1,9.825803757E0,9.834993567E0
7.284647340E-1,1.532289088E-1,4.309563041E-1,9.864110947E0,9.874709474E0
7.324617350E-1,1.723825186E-1,4.788403511E-1,9.797073364E0,9.810282887E0
7.364579670E-1,1.340752989E-1,4.309563041E-1,9.768342972E0,9.778763927E0
7.404577370E-1,1.244984865E-1,4.501099288E-1,9.797073364E0,9.808197863E0
7.444558150E-1,1.149216816E-1,4.213795066E-1,9.720458984E0,9.730266725E0
7.484832780E-1,1.149216816E-1,4.118026793E-1,9.864110947E0,9.873371927E0
7.524816630E-1,1.053448766E-1,3.639186621E-1,9.825803757E0,9.833104993E0
7.564786640E-1,1.244984865E-1,4.309563041E-1,9.806650162E0,9.816904329E0
7.604755890E-1,1.532289088E-1,4.979939461E-1,9.768342972E0,9.782228861E0
7.644752820E-1,1.628057212E-1,4.118026793E-1,9.854534149E0,9.864478215E0
7.684712830E-1,1.340752989E-1,4.022258818E-1,9.730035782E0,9.739268872E0
7.724690530E-1,1.340752989E-1,4.309563041E-1,9.825803757E0,9.836163835E0
7.764675160E-1,1.819593310E-1,4.692635238E-1,9.844957352E0,9.857814297E0
7.804657470E-1,1.436520964E-1,3.926490843E-1,9.777919769E0,9.786854665E0
7.844644410E-1,1.628057212E-1,3.926490843E-1,9.816226959E0,9.825425727E0
7.884620570E-1,9.576806426E-2,4.213795066E-1,9.806650162E0,9.816166238E0
7.924582890E-1,9.576806426E-2,3.830722570E-1,9.825803757E0,9.833734557E0
7.964562130E-1,1.053448766E-1,4.213795066E-1,9.749189377E0,9.758860166E0
8.004847520E-1,1.532289088E-1,3.639186621E-1,9.902418137E0,9.910287627E0
8.044854460E-1,1.819593310E-1,3.926490843E-1,9.854534149E0,9.864031924E0
8.084808310E-1,2.298433632E-1,4.022258818E-1,9.797073364E0,9.808020195E0
8.124789090E-1,1.723825186E-1,4.501099288E-1,9.787496567E0,9.799357312E0
8.164765260E-1,1.532289088E-1,4.213795066E-1,9.806650162E0,9.816894987E0
8.204742960E-1,1.915361285E-1,4.309563041E-1,9.787496567E0,9.798851895E0
8.244740660E-1,1.723825186E-1,4.118026793E-1,9.797073364E0,9.807239351E0
8.284702980E-1,1.532289088E-1,4.118026793E-1,9.758766174E0,9.768652813E0
8.324669140E-1,1.723825186E-1,4.501099288E-1,9.777919769E0,9.789792117E0
8.364666080E-1,1.340752989E-1,3.447650373E-1,9.825803757E0,9.832764544E0
8.404635320E-1,1.915361285E-1,4.405331016E-1,9.797073364E0,9.808843051E0
8.444626870E-1,1.436520964E-1,4.405331016E-1,9.806650162E0,9.817590984E0
8.484573800E-1,1.723825186E-1,4.309563041E-1,9.758766174E0,9.769798172E0
8.524556120E-1,1.053448766E-1,3.830722570E-1,9.844957352E0,9.852970474E0
8.564838440E-1,1.532289088E-1,4.405331016E-1,9.854534149E0,9.865565965E0
8.604826140E-1,1.819593310E-1,4.405331016E-1,9.777919769E0,9.789529796E0
8.644810760E-1,9.576806426E-2,4.884171486E-1,9.797073364E0,9.809707913E0
8.684773850E-1,1.436520964E-1,4.022258818E-1,9.864110947E0,9.873353349E0
8.724756170E-1,1.340752989E-1,4.788403511E-1,9.777919769E0,9.790555617E0
8.764736950E-1,1.436520964E-1,4.405331016E-1,9.768342972E0,9.779326651E0
8.804713110E-1,2.011129409E-1,3.543418646E-1,9.825803757E0,9.834247507E0
8.844706970E-1,1.532289088E-1,4.501099288E-1,9.768342972E0,9.779908101E0
8.884657750E-1,1.723825186E-1,4.022258818E-1,9.806650162E0,9.816409160E0
8.924642370E-1,1.340752989E-1,4.213795066E-1,9.816226959E0,9.826181791E0
8.964629310E-1,7.661445439E-2,4.118026793E-1,9.825803757E0,9.834727789E0
9.004605470E-1,1.053448766E-1,3.830722570E-1,9.797073364E0,9.805125619E0
9.044604710E-1,1.340752989E-1,4.309563041E-1,9.758766174E0,9.769197345E0
9.084562410E-1,1.244984865E-1,3.639186621E-1,9.835380554E0,9.842898319E0
9.124841650E-1,1.149216816E-1,3.926490843E-1,9.835380554E0,9.843885968E0
9.164820890E-1,1.532289088E-1,4.979939461E-1,9.768342972E0,9.782228861E0
